"Ano","Mes","Activa","Reactiva","Cant_Cuentas","Cuentas_Reactiva","Relacion","Cumple","Pago_Total","Cuentas_Pagadas","Tiempo"
2000,2,97995,0,1,0,0,"Sí",795340,1,1
2000,3,96381,0,2,0,0,"Sí",806660,2,2
2000,4,409,0,2,0,0,"Sí",710750,2,3
2000,5,388,0,2,0,0,"Sí",836190,2,4
2000,6,376,0,2,0,0,"Sí",807600,2,5
2000,7,380,0,2,0,0,"Sí",824930,2,6
2000,8,331,0,2,0,0,"Sí",937200,2,7
2000,9,361,0,2,0,0,"Sí",830800,2,8
2000,10,408,0,2,0,0,"Sí",832440,2,9
2000,11,600,0,2,0,0,"Sí",426372,2,10
2000,12,666,0,2,0,0,"Sí",6414860,3,11
2001,1,716,0,2,0,0,"Sí",804020,2,12
2001,2,666,0,2,0,0,"Sí",848430,2,13
2001,3,3563,0,2,0,0,"Sí",2658930,3,14
2001,4,3181,0,2,0,0,"Sí",716310,2,15
2001,5,187214,73640,7,5,0.393346651425641,"Sí",50273700,10,16
2001,6,131333,49303,11,7,0.375404506102807,"Sí",43073437,11,17
2001,7,231145,133665,11,7,0.578273378182526,"No",42557910,11,18
2001,8,186818,72026,11,10,0.385541007825798,"Sí",41959095,11,19
2001,9,218165,80410,11,9,0.368574244264662,"Sí",38740813,10,20
2001,10,192164,75728,11,9,0.394080056618305,"Sí",44239935,11,21
2001,11,188062,73425,12,8,0.390429751890334,"Sí",42824225,11,22
2001,12,142739,53730,11,9,0.376421300415444,"Sí",31566363,11,23
2002,1,152410,66835,10,7,0.438521094416377,"Sí",40116438,12,24
2002,2,150345,62577,10,5,0.416222687818019,"Sí",43341209,12,25
2002,3,188749,64238,12,9,0.340335577936837,"Sí",37434647,12,26
2002,4,205177,86880,11,9,0.423439274382606,"Sí",46457246,12,27
2002,5,218122,82997,12,8,0.380507239068045,"Sí",42388625,12,28
2002,6,165106,67037,11,9,0.406024008818577,"Sí",32501046,12,29
2002,7,241690,81742,12,7,0.338210103852042,"Sí",49051518,12,30
2002,8,242554,87034,11,8,0.358823189887613,"Sí",49740382,12,31
2002,9,255713,94053,12,9,0.367806877241282,"Sí",53129859,12,32
2002,10,232738,80088,12,7,0.344112263575351,"Sí",51750477,12,33
2002,11,205973,71009,12,10,0.34474906905274,"Sí",48266719,12,34
2002,12,143736,59279,11,7,0.412415817888351,"Sí",36378367,12,35
2003,1,129741,46001,12,8,0.354560239245882,"Sí",33756837,12,36
2003,2,212245,65673,12,10,0.309420716624655,"Sí",52279425,12,37
2003,3,162656,42040,11,8,0.258459571119418,"Sí",65100892,12,38
2003,4,121986,31030,10,8,0.254373452691292,"Sí",34393322,12,39
2003,5,106951,42530,9,8,0.397658740918738,"Sí",42990840,11,40
2003,6,137367,27970,11,9,0.20361513318337,"Sí",39198930,11,41
2003,7,34815,8420,8,5,0.241849777394801,"Sí",38471240,12,42
2003,8,163600,36030,11,8,0.220232273838631,"Sí",46348691,11,43
2003,9,172211,40580,11,9,0.235641161133725,"Sí",49331610,11,44
2003,10,170371,42070,11,9,0.246931696121993,"Sí",50615917,11,45
2003,11,129547,32420,11,8,0.250256663604715,"Sí",39069970,11,46
2003,12,82278,19070,11,9,0.23177520114733,"Sí",25619850,12,47
2004,1,169802,46840,13,8,0.275850696693796,"Sí",52299780,14,48
2004,2,143420,36160,13,9,0.252126621112816,"Sí",45014871,13,49
2004,3,192102,48170,13,10,0.250752204557995,"Sí",61303970,13,50
2004,4,157396,42030,13,10,0.267033469719688,"Sí",50529300,14,51
2004,5,182104,49240,13,10,0.270394939155647,"Sí",59342870,14,52
2004,6,125891,28420,12,9,0.225750847955771,"Sí",45104710,14,53
2004,7,142203,34660,13,9,0.243736067452867,"Sí",47645785,13,54
2004,8,148589,35600,13,9,0.239587048839416,"Sí",50412260,13,55
2004,9,173736,47420,13,8,0.272942855827232,"Sí",59825950,13,56
2004,10,175698,47650,11,8,0.271203997768899,"Sí",62038630,14,57
2004,11,156807,44100,12,7,0.281237444756931,"Sí",55036900,12,58
2004,12,105257,29310,12,7,0.278461289985464,"Sí",36987800,12,59
2005,1,86424,22190,12,7,0.256757382208646,"Sí",29565970,12,60
2005,2,150441,38460,12,9,0.255648393722456,"Sí",51125930,12,61
2005,3,158758,37490,12,7,0.236145580065257,"Sí",54622700,12,62
2005,4,178181,40180,12,8,0.225501035463938,"Sí",61476040,12,63
2005,5,149262,38230,12,8,0.256126810574694,"Sí",51713500,12,64
2005,6,151639,42720,12,8,0.281721720665528,"Sí",52601120,12,65
2005,7,110260,27700,11,8,0.251224378741157,"Sí",38509360,12,66
2005,8,172165,46580,12,8,0.27055441001365,"Sí",58722870,12,67
2005,9,196107,49080,12,8,0.250271535437287,"Sí",66669900,12,68
2005,10,148900,40980,11,8,0.275218267293486,"Sí",51485440,12,69
2005,11,157380,43760,11,8,0.278053119837336,"Sí",54198230,13,70
2005,12,105020,27070,11,8,0.257760426585412,"Sí",36797780,13,71
2006,1,116330,45720,13,8,0.393019857302501,"Sí",39604894,13,72
2006,2,163073,44340,13,9,0.271902767472236,"Sí",54841390,13,73
2006,3,189548,52930,13,10,0.279243252368793,"Sí",64595060,13,74
2006,4,140714,40530,13,9,0.288031041687394,"Sí",47842140,13,75
2006,5,185027,51170,12,9,0.276554232625509,"Sí",64665940,13,76
2006,6,151631,52100,12,8,0.343597285515495,"Sí",53389760,13,77
2006,7,135825,47480,12,9,0.349567458126265,"Sí",48768980,13,78
2006,8,215530,67170,12,9,0.311650350299262,"Sí",75544940,13,79
2006,9,229871,70930,12,9,0.308564368711147,"Sí",79978920,13,80
2006,10,216848,68610,12,9,0.316396738729433,"Sí",74902840,13,81
2006,11,175146,62590,12,9,0.35735900334578,"Sí",59906370,13,82
2006,12,143549,46790,14,9,0.325951417286084,"Sí",49383370,14,83
2007,1,145571,48000,13,9,0.329736005110908,"Sí",49238870,13,84
2007,2,216814,66830,13,9,0.308236552990121,"Sí",81026286,14,85
2007,3,222693,65350,13,9,0.293453319143395,"Sí",217931873,10,86
2007,4,163020,50750,11,8,0.311311495522022,"Sí",13202370,8,87
2007,5,155546,60720,12,8,0.390366836819976,"Sí",11264630,8,88
2007,6,183883,46420,12,7,0.252443129598712,"Sí",18498150,9,89
2007,7,167475,51560,13,8,0.30786684579788,"Sí",28910500,11,90
2007,8,216738,64870,13,9,0.299301460749845,"Sí",57442789,13,91
2007,9,226852,68600,11,7,0.302399802514415,"Sí",75448276,14,92
2007,10,213098,67800,11,8,0.318163474082347,"Sí",67135960,13,93
2007,11,208902,67040,12,8,0.320916027611033,"Sí",65423400,13,94
2007,12,134712,50390,12,9,0.37405724805511,"Sí",42456250,13,95
2008,1,189912,63120,13,8,0.332364463541008,"Sí",59352190,14,96
2008,2,155128,57460,12,9,0.370403795575267,"Sí",50681630,14,97
2008,3,163359,57460,13,8,0.351740644837444,"Sí",54782580,14,98
2008,4,207948,67140,13,9,0.32286917883317,"Sí",70043560,14,99
2008,5,196571,64580,13,9,0.32853269302186,"Sí",67296750,14,100
2008,6,200831,70050,13,9,0.348800732954574,"Sí",72505600,14,101
2008,7,171925,63030,14,9,0.366613348843973,"Sí",60548370,15,102
2008,8,235353,74780,14,9,0.317735486694455,"Sí",83868040,15,103
2008,9,240030,74660,14,9,0.311044452776736,"Sí",85127160,15,104
2008,10,239089,79190,13,9,0.331215572443734,"Sí",86513320,15,105
2008,11,200788,68150,13,9,0.339412713907206,"Sí",73121220,15,106
2008,12,142664,53670,12,9,0.376198620534963,"Sí",53890080,14,107
2009,1,122263,45970,12,9,0.375992736968666,"Sí",46789200,14,108
2009,2,180805,50550,13,9,0.27958297613451,"Sí",68907360,15,109
2009,3,218065,74880,14,9,0.343383853438195,"Sí",82514220,15,110
2009,4,157541,51160,14,9,0.324740861109172,"Sí",59641920,15,111
2009,5,227512,68790,13,9,0.302357677836773,"Sí",87251080,14,112
2009,6,173929,52470,14,9,0.301674821335143,"Sí",67361730,15,113
2009,7,169086,53650,14,9,0.317294158002437,"Sí",65460630,15,114
2009,8,200984,56680,14,8,0.282012498507344,"Sí",78149260,15,115
2009,9,283750,73790,14,8,0.260052863436123,"Sí",111780660,15,116
2009,10,237751,65560,14,8,0.275750680333626,"Sí",93859410,15,117
2009,11,228821,60620,14,8,0.264923236940665,"Sí",92237260,15,118
2009,12,191849,59330,14,8,0.30925363176248,"Sí",78769920,15,119
2010,1,139630,43920,14,8,0.314545584759722,"Sí",56374930,15,120
2010,2,258529,55732,15,9,0.215573494656305,"Sí",107859860,15,121
2010,3,222898,51310,15,9,0.230194977074716,"Sí",87607730,15,122
2010,4,245247,61780,15,8,0.251909299604073,"Sí",94916190,16,123
2010,5,231248,58150,15,8,0.251461634262783,"Sí",85998002,16,124
2010,6,122009,34150,15,10,0.279897384619167,"Sí",54448920,15,125
2010,7,168206,45812,15,10,0.272356515225378,"Sí",59902180,15,126
2010,8,202903,57110,15,9,0.281464542170397,"Sí",71102960,15,127
2010,9,260437,63360,15,10,0.243283404431782,"Sí",90595190,15,128
2010,10,238095,62090,14,10,0.260778260778261,"Sí",75912450,14,129
2010,11,200943,48770,15,9,0.242705642893756,"Sí",70742870,15,130
2010,12,145703,36520,15,10,0.250646863825728,"Sí",53108860,15,131
2011,1,127982,34990,15,10,0.273397821568658,"Sí",43243720,15,132
2011,2,208340,47550,15,9,0.22823269655371,"Sí",74140990,15,133
2011,3,225751,47770,15,9,0.211604821241102,"Sí",82113169,16,134
2011,4,182789,37530,14,9,0.205318700797094,"Sí",63947830,12,135
2011,5,230403,47140,15,9,0.20459803040759,"Sí",84383350,16,136
2011,6,149474,36780,15,10,0.246062860430577,"Sí",59706210,16,137
2011,7,138462,34740,13,8,0.250899163669454,"Sí",53057860,16,138
2011,8,259686,57170,15,10,0.220150489437243,"Sí",97705550,16,139
2011,9,282583,63980,15,10,0.226411355247839,"Sí",108413330,16,140
2011,10,199845,48610,15,10,0.24323850984513,"Sí",76289640,16,141
2011,11,170459,41350,15,10,0.242580327234115,"Sí",66602910,16,142
2011,12,161396,41430,15,10,0.256697811593844,"Sí",65072950,16,143
2012,1,163428,38900,15,8,0.238025307780796,"Sí",67432460,16,144
2012,2,196117,31210,15,9,0.159139697221557,"Sí",78804970,16,145
2012,3,231155,27050,14,8,0.117021046483961,"Sí",107165360,16,146
2012,4,200606,24190,14,8,0.120584628575416,"Sí",81299190,16,147
2012,5,252743,29050,14,8,0.114938890493505,"Sí",96351480,15,148
2012,6,207827,25630,14,8,0.123323725983631,"Sí",79797830,15,149
2012,7,172269,25290,14,8,0.14680528708009,"Sí",66249690,15,150
