"Tiempo","Ano","Mes","Activa_Total","Reactiva_Total","Pago_Total_Sede","Cuentas_Pagadas","Cuentas_Incumplen","Sede_Incumple"
1,2001,5,110240,42720,24122100,3,2,1
2,2001,6,59080,22080,13105200,3,1,1
3,2001,7,98400,36760,22502270,3,1,1
4,2001,8,103720,38560,23771090,3,0,0
5,2001,9,125360,45600,29557680,3,0,0
6,2001,10,100560,39440,24161270,3,1,1
7,2001,11,104320,39400,23604860,3,0,0
8,2001,12,62000,19960,13783150,3,0,0
9,2002,1,27960,12240,21899840,3,0,0
10,2002,2,26520,11040,21989890,3,0,0
11,2002,3,71400,14760,16745490,3,0,0
12,2002,4,81040,34840,23963470,3,0,0
13,2002,5,90160,30600,21093360,3,0,0
14,2002,6,60120,22160,14469270,3,0,0
15,2002,7,115680,29600,27947730,3,0,0
16,2002,8,112240,34160,27591300,3,0,0
17,2002,9,119680,36560,28880980,3,0,0
18,2002,10,124120,37960,30642950,3,0,0
19,2002,11,108640,33880,27427760,3,0,0
20,2002,12,53240,20560,20181400,3,0,0
21,2003,1,61360,18120,15870080,3,0,0
22,2003,2,130080,34880,34467250,3,0,0
23,2003,3,122800,36160,33769210,3,0,0
24,2003,4,90640,26520,25060430,3,0,0
25,2003,5,65920,15800,31006280,3,0,0
26,2003,6,94440,22240,25998950,3,0,0
27,2003,8,119520,28480,33984310,3,0,0
28,2003,9,127960,34680,36783280,3,0,0
29,2003,10,126880,36760,37113730,3,0,0
30,2003,11,93560,27320,27985520,3,0,0
31,2003,12,61120,17080,18788000,3,0,0
32,2004,1,91440,23600,28065870,4,0,0
33,2004,2,105900,27560,32690170,4,0,0
34,2004,3,135280,34000,42507850,4,0,0
35,2004,4,109020,30000,34466010,4,0,0
36,2004,5,127980,34360,41138710,4,0,0
37,2004,6,92580,23040,30234850,4,0,0
38,2004,7,101340,26920,33780100,4,0,0
39,2004,8,109980,30440,37092470,4,0,0
40,2004,9,127240,38080,43549260,4,0,0
41,2004,10,134900,41240,47054860,4,0,0
42,2004,11,119960,38160,41979280,4,0,0
43,2004,12,78100,24600,27280760,4,0,0
44,2005,1,64560,17680,22037230,4,0,0
45,2005,2,112240,31800,38091270,4,0,0
46,2005,3,123000,31640,42246850,4,0,0
47,2005,4,139140,33960,47968880,4,0,0
48,2005,5,113540,31560,39251960,4,0,0
49,2005,6,113660,35160,39338000,4,0,0
50,2005,7,86120,21720,29887360,4,0,0
51,2005,8,130080,37760,44368320,4,0,0
52,2005,9,150620,41280,51038490,4,0,0
53,2005,10,116000,35600,39307100,4,0,0
54,2005,11,124620,38120,42091460,4,0,0
55,2005,12,83980,23840,28586700,4,0,0
56,2006,1,79140,24160,26524127,4,0,0
57,2006,2,114680,32600,38777800,4,0,0
58,2006,3,136920,39440,46742740,4,0,0
59,2006,4,97600,29800,33250930,4,0,0
60,2006,5,130940,37480,45790860,4,0,0
61,2006,6,99640,31960,35022420,4,0,0
62,2006,7,86240,27280,30868820,4,0,0
63,2006,8,129040,35600,46181450,4,0,0
64,2006,9,135640,38160,48362720,4,0,0
65,2006,10,127700,36960,45288010,4,0,0
66,2006,11,96060,34160,33777000,4,0,0
67,2006,12,77980,19320,27361990,4,0,0
68,2007,1,72600,17840,25448220,3,0,0
69,2007,2,120260,33120,42835122,4,0,0
70,2007,3,128600,34000,161970773,3,0,0
71,2007,4,94440,27040,74040,2,0,0
72,2007,5,93200,26000,116030,1,0,0
73,2007,6,100040,29560,99870,1,0,0
74,2007,7,93900,25520,9108700,2,0,0
