Ano,Mes,Activa_Total,Reactiva_Total,Pago_Total_Sede,Cuentas_Pagadas,Cuentas_Incumplen,Sede_Incumple,Temperatura,Vacaciones,Tiempo
2022,1,80400,38617,55436750,4,1,1,27.9550595238095,1,1
2022,2,112482,49213,75027710,4,2,1,27.5989211309524,0,2
2022,3,110613,51705,75906090,4,2,1,27.2953293010752,0,3
2022,4,130694,57910,91219990,4,2,1,27.4437847222222,0,4
2022,5,166484,75621,120276680,4,2,1,27.4693548387097,0,5
2022,6,127576,59657,90772500,4,2,1,26.9806597222222,1,6
2022,7,138596,65195,109371080,4,2,1,27.4723118279569,1,7
2022,8,115531,52475,87770610,4,2,1,28.766061827957,0,8
2022,9,169492,74610,118969400,4,2,1,28.1711458333334,0,9
2022,10,156218,69741,119903530,4,2,1,27.3299059139785,0,10
2022,11,165295,72970,125519210,4,2,1,26.8700694444445,0,11
2022,12,120687,58650,92448480,4,2,1,27.2946908602151,1,12
2023,1,78477,45779,60399690,4,2,1,26.8767809139784,1,13
2023,2,167300,70281,124463790,4,2,1,28.8405133928571,0,14
2023,3,190013,77657,147852110,4,2,1,27.2683467741935,0,15
2023,4,148733,63580,111832450,4,2,1,27.4665972222222,0,16
2023,5,200776,80867,148893530,4,2,1,28.4166666666666,0,17
2023,6,106381,48537,94826660,5,3,1,28.9079861111111,1,18
2023,7,104056,44242,78242970,4,2,1,29.0793346774194,1,19
2023,8,218000,95835,165971030,5,3,1,30.53625672043,0,20
2023,9,243031,96555,179347900,4,2,1,31.2740624999999,0,21
2023,10,215414,83602,162465090,5,3,1,30.6813508064518,0,22
2023,11,194204,79922,152873030,5,2,1,28.8109027777778,0,23
2023,12,99472,45445,85987380,5,2,1,28.8266465053764,1,24
2024,1,109390,52100,91531040,5,2,1,30.0812900641025,1,25
2024,2,233388,86454,197118910,5,1,1,30.1744252873562,0,26
2024,3,220054,82979,191316520,5,1,1,30.6373655913979,0,27
2024,4,204438,83951,168168770,4,1,1,29.3636458333333,0,28
2024,5,228429,84263,191001030,5,1,1,28.5051411290322,0,29
2024,6,101736,40030,97359790,5,1,1,28.4969791666667,1,30
2024,7,109574,50477,94625120,5,2,1,29.0219791666667,1,31
2024,8,213600,82731,188295330,5,1,1,29.9840389784946,0,32
2024,9,263447,95610,231113130,5,1,1,31.5828663793105,0,33
2024,10,202411,79601,164742080,4,1,1,29.8887768817204,0,34
2024,11,213016,75137,192839260,5,1,1,27.575,0,35
2024,12,105390,44019,101166370,5,1,1,27.8675067204301,1,36
2025,1,101875,48745,91274930,5,1,1,28.4809475806451,1,37
2025,2,194894,73035,179033400,5,1,1,28.0261904761904,0,38
2025,3,199330,72690,182594720,5,1,1,27.3907930107528,0,39
2025,4,175018,63907,165926950,5,1,1,27.6582175925927,0,40
2025,5,213592,72567,212927520,5,1,1,27.4926523297491,0,41
2025,6,107926,7667,107041640,5,0,0,27.6680555555555,1,42
2025,7,117652,6321,113648420,5,0,0,28.7328853046594,1,43
2025,8,215460,73325,203804990,5,1,1,28.9784050179211,0,44
